filename,width,height,class,xmin,ymin,xmax,ymax
783_jpg.rf.d21ec36df80cf494336569f9c43747db.jpg,384,384,face,108,60,119,75
783_jpg.rf.d21ec36df80cf494336569f9c43747db.jpg,384,384,face,122,147,132,168
783_jpg.rf.d21ec36df80cf494336569f9c43747db.jpg,384,384,face,230,215,249,251
786_jpg.rf.d1933ed063e7e0c5d33570aa7a762732.jpg,384,384,face,87,84,93,96
786_jpg.rf.d1933ed063e7e0c5d33570aa7a762732.jpg,384,384,face,188,120,198,135
786_jpg.rf.d1933ed063e7e0c5d33570aa7a762732.jpg,384,384,face,125,162,133,187
786_jpg.rf.d1933ed063e7e0c5d33570aa7a762732.jpg,384,384,face,235,199,246,233
741_jpg.rf.d5d00f6913903d765eddec38e7df8245.jpg,384,384,face,162,87,192,105
150_jpg.rf.d33876da75d02f872744dc8b1aa8a4b4.jpg,384,384,face,150,242,174,252
150_jpg.rf.d33876da75d02f872744dc8b1aa8a4b4.jpg,384,384,face,209,128,244,141
226_jpg.rf.d2887f76471e9af1aa8f593a9cc8e49b.jpg,384,384,face,182,78,207,85
226_jpg.rf.d2887f76471e9af1aa8f593a9cc8e49b.jpg,384,384,face,41,118,47,121
280_jpg.rf.d214cdddd579f1ad0f6c496a6c9b8a77.jpg,384,384,face,255,183,267,206
280_jpg.rf.d214cdddd579f1ad0f6c496a6c9b8a77.jpg,384,384,face,348,296,365,332
280_jpg.rf.d214cdddd579f1ad0f6c496a6c9b8a77.jpg,384,384,face,233,40,240,51
804_jpg.rf.d2f96eb95b19e5b87cfa3077e24856ad.jpg,384,384,face,130,158,136,181
502_jpg.rf.d59b28cdbf7ea26b385ab045a5588fff.jpg,384,384,face,156,156,181,170
1000_jpg.rf.d2ae692950fa21eb1c1fb8e895c354c6.jpg,384,384,face,112,260,127,271
1000_jpg.rf.d2ae692950fa21eb1c1fb8e895c354c6.jpg,384,384,face,153,336,180,351
1000_jpg.rf.d2ae692950fa21eb1c1fb8e895c354c6.jpg,384,384,face,208,215,240,234
1000_jpg.rf.d2ae692950fa21eb1c1fb8e895c354c6.jpg,384,384,face,27,197,40,203
933_jpg.rf.d3f040a155825fa36b7ba8b1100decb4.jpg,384,384,face,223,172,232,193
514_jpg.rf.d3d7a60218b3c10640e504014b180cc9.jpg,384,384,face,202,105,208,116
514_jpg.rf.d3d7a60218b3c10640e504014b180cc9.jpg,384,384,face,152,171,164,195
340_jpg.rf.d332534c507bb7c647b6470febdae9d2.jpg,384,384,face,137,292,161,307
340_jpg.rf.d332534c507bb7c647b6470febdae9d2.jpg,384,384,face,178,195,198,206
167_jpg.rf.d73725abb8f8d7a5c5a8959002ae0563.jpg,384,384,face,260,132,274,138
167_jpg.rf.d73725abb8f8d7a5c5a8959002ae0563.jpg,384,384,face,256,191,271,203
167_jpg.rf.d73725abb8f8d7a5c5a8959002ae0563.jpg,384,384,face,191,120,218,131
167_jpg.rf.d73725abb8f8d7a5c5a8959002ae0563.jpg,384,384,face,356,241,366,246
167_jpg.rf.d73725abb8f8d7a5c5a8959002ae0563.jpg,384,384,face,43,229,93,253
167_jpg.rf.d73725abb8f8d7a5c5a8959002ae0563.jpg,384,384,face,329,53,339,58
167_jpg.rf.d73725abb8f8d7a5c5a8959002ae0563.jpg,384,384,face,320,35,334,43
812_jpg.rf.d89a28a8db95031b2aee65907fcecd8a.jpg,384,384,face,214,138,238,148
541_jpg.rf.d73444789e3f474e9c9c7e8310a24ae7.jpg,384,384,face,36,188,45,216
541_jpg.rf.d73444789e3f474e9c9c7e8310a24ae7.jpg,384,384,face,179,24,181,32
541_jpg.rf.d73444789e3f474e9c9c7e8310a24ae7.jpg,384,384,face,183,262,198,298
139_jpg.rf.d75a334388fc7a2440f073790d709c26.jpg,384,384,face,208,135,232,143
139_jpg.rf.d75a334388fc7a2440f073790d709c26.jpg,384,384,face,137,258,173,271
139_jpg.rf.d75a334388fc7a2440f073790d709c26.jpg,384,384,face,337,66,347,72
333_jpg.rf.d67ee6098c5ca904cdadc5933e67200d.jpg,384,384,face,181,125,201,134
596_jpg.rf.d82a5d6a4d6115a6d17faa54dad99edd.jpg,384,384,face,155,51,193,72
492_jpg.rf.d77c78396f139d78b46e5c6a98aaa70d.jpg,384,384,face,168,22,185,31
492_jpg.rf.d77c78396f139d78b46e5c6a98aaa70d.jpg,384,384,face,193,105,216,116
955_jpg.rf.d414e72964d4769a968e9bf47d796ceb.jpg,384,384,face,163,153,173,180
955_jpg.rf.d414e72964d4769a968e9bf47d796ceb.jpg,384,384,face,275,234,292,271
185_jpg.rf.d7f89dd47492a64f477e14bac72824d0.jpg,384,384,face,312,91,327,99
185_jpg.rf.d7f89dd47492a64f477e14bac72824d0.jpg,384,384,face,199,168,223,176
185_jpg.rf.d7f89dd47492a64f477e14bac72824d0.jpg,384,384,face,120,293,160,307
522_jpg.rf.d7aa04a83bfed79573392f339d1af2cb.jpg,384,384,face,106,197,120,204
522_jpg.rf.d7aa04a83bfed79573392f339d1af2cb.jpg,384,384,face,162,268,185,278
522_jpg.rf.d7aa04a83bfed79573392f339d1af2cb.jpg,384,384,face,219,148,252,165
884_jpg.rf.d80ca81ce6e1c9c15cd2e0f1b00598eb.jpg,384,384,face,197,293,222,306
741_jpg.rf.d759402e64b8505a1beadde5745b1fe2.jpg,384,384,face,235,262,265,280
884_jpg.rf.d8bba9fea6f49bdfcf14b0cfd8fbd1c3.jpg,384,384,face,149,80,175,96
855_jpg.rf.d870d9848ebd88b8d6ea303d15e24fff.jpg,384,384,face,200,237,224,245
749_jpg.rf.d995c4d29673f61912273c6201dd34cd.jpg,384,384,face,253,215,288,234
